Team,Points
A U A,7
A U B,6
Aalto A,5
Aberdeen A,9
AKL A,16
Alaska A,11
Alaska B,13
Alaska C,8
Amherst A,8
Amherst B,9
ANU A,11
ANU B,10
ANU C,10
APU A,8
arts A,7
ASAFA A,10
ASAFA B,9
ASDV A,6
Ateneo A,13
AUDS A,9
Bard A,11
Bates A,15
Bates B,12
Bates C,10
Bates D,9
Bauman A,9
BBU A,9
BBU B,8
BDS A,8
Belgrade A,11
Belgrade B,12
Belgrade C,10
Berkeley A,8
Berlin A,7
Berlin B,9
Berlin C,9
BFSU A,8
BGU A,10
BGU B,10
BINUS A,10
BINUS B,12
BIPEDS A,7
BLCU A,9
BOGUN A,5
BPP A,10
Brandeis A,13
Brandeis B,10
Brawijaya A,8
BRIS A,6
Brown A,12
Brown B,9
BUET A,8
BUET B,6
Cambridge A,17
Cambridge B,12
Cambridge C,11
Cambridge D,14
CardiffUni A,6
Carleton A,10
CDS A,9
CDS B,10
Clemson A,8
Clemson B,9
Clemson C,7
CMUQ A,5
TAMUQ A,6
Comillas A,8
Cornell A,11
Cornell B,12
Cornell C,10
Cornell D,10
CUHKEDT A,8
CUNY A,11
CUPB A,7
D U A,8
DAE A,6
DC Ms A,11
DCB A,6
DCBayreuth A,8
DCGA A,7
DEREE A,4
DKWien A,10
DKWien B,10
DKWien C,8
DLSU A,8
Tribhuvan A,3
DRUMS A,12
DRUMS B,9
Duke A,12
Duke B,11
Durham A,15
Durham B,9
Durham C,9
E.D.S A,8
E.D.S B,7
ECP A,6
EDS UGM A,10
EDS UGM B,10
FCC A,3
FDS A,9
FDS B,8
FDU A,6
FDU B,6
GODS A,6
GSU A,5
GSU B,5
GUU A,13
GUU B,10
GWU A,11
GWU B,8
Hart House A,13
Hart House B,11
Hart House C,11
Harvard A,14
Harvard B,12
Harvard C,14
Hawaii A,10
Hit-u A,2
Hit-u B,5
HKCityU A,7
HKU A,9
HKU B,8
HKUST EDT A,7
HKUST EDT B,6
Hopkins A,11
HSE A,9
HUJI A,10
HUJI B,11
HWS A,7
HWS B,9
IBA DU A,9
IBA DU B,8
IDC A,8
IITB A,11
IIUM A,13
IIUM B,15
IIUM C,8
Imperial A,8
Indonesia A,11
Indonesia B,7
Indonesia C,12
Inner A,9
IPB A,7
ITB A,7
IUT A,11
KCL A,11
Keio A,4
Keio B,7
KHDS A,7
Kiel A,6
Koç A,10
Krakow A,6
KSAL A,5
KU Nepal A,5
KOREA A,9
Kyoto A,8
Kyoto B,4
Kyushu A,1
LEIDEN A,10
LEIDEN B,12
LEIDEN C,13
LEIDEN D,9
LLA A,5
LLC A,7
LSE A,13
LSE B,13
LSE C,11
Lund A,11
Lund B,9
MAD A,13
MAD B,10
MAD C,11
MAD D,10
Malaya A,9
McGill A,10
McGill B,11
McGill C,9
McGill D,7
MDS A,10
MDS B,6
MDU A,8
Melbourne A,12
Melbourne B,13
Melbourne C,11
Middlebury A,10
Middlebury B,9
Morehouse A,10
Morehouse B,10
MQU A,12
MQU B,7
MSU BD A,3
Nagoya A,7
Nazarbayev A,6
Nazarbayev B,6
NEU A,13
NEU B,9
NLSIU A,13
NorthwestU A,6
NSU A,8
NTU A,10
NUDT A,3
NUIG A,8
NUIG B,4
NUS A,9
NWU-PUKKE A,7
NYU LY A,9
OCAD A,4
OpenU A,7
Otago A,11
Otago B,8
Oxford A,13
Oxford B,15
Oxford C,15
Oxford D,12
PCU A,5
Penn A,12
PEP A,11
Point Loma A,6
Princeton A,10
Princeton B,10
Princeton C,10
PUCP A,6
QDU A,14
QDU B,10
QUTDS A,10
Rosario A,9
Rosario B,6
RRIS A,10
RRIS B,9
SdDUP A,7
SDU A,5
Sheff A,4
Sheff B,7
SIM A,7
Singidunum A,6
SKT A,11
SKT B,5
SMU A,9
SMU B,7
SNUDA A,4
Sodales A,10
SolBridge A,7
St Andrews A,12
St Andrews B,7
St Andrews C,10
Stanford A,11
Stanford B,12
Stanford C,9
Stanford D,12
Stanford E,10
Stanford F,8
STIPRam A,7
Stockholm A,8
SUFE A,6
SUFE B,9
Swarthmore A,11
Swarthmore B,11
Swarthmore C,12
SWORDS A,10
Tampere A,7
Taylor's A,11
TCD Hist A,11
TCD Hist B,9
TCD Phil A,9
TCD Phil B,11
TCWM A,12
TDS A,9
TDS B,11
MEDUNSA A,3
Tec CEM A,7
Tec CEM B,7
Tec CEM C,3
Technion A,8
Tel Aviv A,14
Tel Aviv B,10
Tilbury A,7
Tilbury B,7
Titech A,7
TKC A,8
Tokai A,4
Tokyo A,10
Tokyo B,9
TUCN A,9
U.LISBON A,4
UADS A,11
UAM A,9
UBC A,8
UBC B,11
UCC Phil A,10
UCD LawSoc A,13
UCD LawSoc B,9
UCD LnH A,6
UChicago A,8
UChicago B,8
UChicago C,8
UCL A,11
UCL B,13
UCL C,8
UCO A,4
UCT A,12
UCT B,9
UCV A,4
UCV B,5
UdeM A,9
UdeS A,6
UFH A,7
UFS A,8
UFV A,5
ULV A,8
ULV B,10
UMacau A,8
UMB A,3
UNSW A,11
UNSW B,12
UoB A,7
Edinburgh A,12
UoG A,8
UoN A,6
UQDS A,12
UQDS B,11
UQDS C,12
URDU A,14
USDV A,10
USDV B,11
USMA A,8
USU A,14
USU B,14
USU C,12
USU D,13
USU E,14
USU F,9
UT MARA A,15
UT MARA B,10
UT MARA C,7
UT Sydney A,14
UTECH A,5
UTECH B,5
Utrecht A,6
UVic A,9
UWADU A,13
UWADU B,9
UWI MONA A,7
UWI MONA B,6
UWODS A,12
Vermont A,12
Vermont B,11
Vermont C,9
VUW A,12
VUW B,9
Warsaw A,6
Warsaw B,8
Warsaw C,7
Warwick A,11
Waseda A,5
Waseda B,8
WCM A,5
WCM B,3
WCM C,2
wdebating A,8
WDU A,12
WSDU A,9
WSDU B,8
Yale A,15
Yale B,10
Yale C,10
Yale D,11
YNC A,10
YUU A,9
Zagreb A,8
ZUD A,6
