Venue,OG Team,OO Team,CG Team,CO Team
OV210,DCGA A,SolBridge A,E.D.S B,PUCP A
,,,,
,,,,
,,,,
OV231,Durham C,Vermont C,BBU A,TDS A
,,,,
,,,,
,,,,
OV243,HKU A,HSE A,Aberdeen A,AUDS A
,,,,
,,,,
,,,,
OV244,Inner A,UWADU B,NYU LY A,UCD LawSoc B
,,,,
,,,,
OV277,Swarthmore A,McGill B,Stanford A,HUJI B
,,,,
,,,,
,,,,
OV279,UT MARA A,AKL A,Yale A,Cambridge A
,,,,
,,,,
,,,,
OV307,MDU A,Zagreb A,Alaska C,APU A
,,,,
,,,,
OV309,Hart House C,TCD Hist A,Cornell A,Hopkins A
,,,,
,,,,
,,,,
OV311,Tokyo A,HUJI A,QUTDS A,BINUS A
,,,,
,,,,
,,,,
OV313,HWS A,Clemson C,Warsaw C,HKUST EDT A
,,,,
,,,,
OV334,Krakow A,GODS A,Point Loma A,Nazarbayev B
,,,,
,,,,
,,,,
OV338,CardiffUni A,UCD LnH A,HKUST EDT B,Utrecht A
,,,,
,,,,
OV345,DLSU A,IBA DU B,Brawijaya A,FDS B
,,,,
,,,,
,,,,
OV371,SWORDS A,LEIDEN A,St Andrews C,Tel Aviv B
,,,,
,,,,
OV375,Oxford C,Oxford B,Harvard A,IIUM B
,,,,
,,,,
,,,,
OV377,Tampere A,UoB A,SdDUP A,MEDUNSA A
,,,,
,,,,
OV379,Hart House B,QDU B,BGU A,FDS A
,,,,
,,,,
OV407,Morehouse B,ULV B,BPP A,EDS UGM A
,,,,
,,,,
,,,,
OV409,Edinburgh A,Bates B,UWODS A,UNSW A
,,,,
,,,,
OV411,Tec CEM B,LLC A,ITB A,MQU B
,,,,
,,,,
,,,,
OV471,Stanford C,UdeM A,YUU A,LEIDEN D
,,,,
,,,,
,,,,
OV475,GUU B,DKWien B,UT MARA B,Princeton C
,,,,
,,,,
,,,,
OV477,McGill C,Berlin C,UAM A,NUS A
,,,,
,,,,
,,,,
OV479,USU E,UT Sydney A,Cambridge D,USU B
,,,,
,,,,
,,,,
OV481,Princeton A,Hawaii A,NEU B,Cornell C
,,,,
,,,,
OV483,DAE A,UoN A,SUFE A,UdeS A
,,,,
,,,,
,,,,
OV511,USU D,LSE B,LSE A,UCD LawSoc A
,,,,
,,,,
,,,,
OV539,Indonesia C,Stanford B,UCT A,UWADU A
,,,,
,,,,
OV543,UFH A,A U A,UChicago B,Keio B
,,,,
,,,,
,,,,
OV545,Sheff B,SIM A,Berlin A,Warsaw A
,,,,
,,,,
OV561,IDC A,UCL C,Amherst A,Otago B
,,,,
,,,,
,,,,
OV568,MAD D,Team 399,Bates D,Belgrade C
,,,,
,,,,
OV570,Sheff A,U.LISBON A,Tokai A,UCO A
,,,,
,,,,
,,,,
OV572,BRIS A,FDU B,Nazarbayev A,ASDV A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
OV574,Kyoto B,GSU B,UFV A,UCV A
,,,,
,,,,
,,,,
OV577,Durham B,SMU A,KOREA A,UVic A
,,,,
,,,,
,,,,
,,,,
,,,,
OV579,St Andrews A,WDU A,Duke A,UQDS A
,,,,
,,,,
OV581,NWU-PUKKE A,Technion A,DKWien C,UoG A
,,,,
,,,,
SL153,Alaska B,Brandeis A,Oxford A,MAD A
,,,,
,,,,
,,,,
SL167,LEIDEN B,Vermont A,Stanford D,Penn A
,,,,
,,,,
,,,,
SL202,MAD B,Carleton A,Princeton B,BGU B
,,,,
,,,,
,,,,
SL204,Warsaw B,BDS A,WSDU B,UBC A
,,,,
,,,,
SL228,Warwick A,ANU A,Otago A,Alaska A
,,,,
,,,,
SL230,FDU A,ZUD A,A U B,Rosario B
,,,,
,,,,
SL231,Bauman A,BLCU A,VUW B,Malaya A
,,,,
,,,,
SL232,ANU C,Brandeis B,EDS UGM B,ANU B
,,,,
,,,,
SL234,BIPEDS A,Tilbury B,Titech A,UWI MONA A
,,,,
,,,,
,,,,
,,,,
,,,,
SL235,NUIG A,Kyoto A,HKU B,E.D.S A
,,,,
,,,,
SL241,Aalto A,PCU A,Hit-u B,WCM A
,,,,
,,,,
,,,,
SL263,RRIS B,Tokyo B,CDS A,Middlebury B
,,,,
,,,,
SL264,BUET B,Nagoya A,St Andrews B,UT MARA C
,,,,
,,,,
SL270,Kiel A,UWI MONA B,NorthwestU A,ECP A
,,,,
,,,,
SL271,UADS A,KCL A,Indonesia A,Taylor's A
,,,,
,,,,
SL286,Sodales A,CDS B,Cornell D,USDV A
,,,,
,,,,
,,,,
,,,,
SL304,Hit-u A,WCM C,Kyushu A,Swing A
,,,,
,,,,
SL330,DEREE A,SNUDA A,OCAD A,Keio A
,,,,
,,,,
,,,,
SL332,NEU A,IIUM A,Hart House A,NLSIU A
,,,,
,,,,
,,,,
