,is_esl_wudc2017,wudc2017_avg,eudc2016_avg,is_esl_eudc2016,oxiv2016_avg,is_esl_oxiv2016,is_esl_camiv2016,camiv2016_avg
ABEL LAW,,,,,77.2,1.0,,
Aaron Luke,0.0,80.6,,,77.0,0.0,0.0,78.2
Aaron Schaffer-Neitz,0.0,77.2,,,75.4,0.0,0.0,76.6
Abhi Kulgod,0.0,76.2,,,,,,
Abhik Pant,1.0,70.1,,,,,,
Abhiroop Lohia,,,,,,,0.0,76.4
Abhisheka Dubey,0.0,78.2,,,,,,
Abigail Westberry,0.0,76.6,,,78.2,0.0,,
Abu Saleh Didar,1.0,77.1,,,,,,
Acca Kwai Ching Sum,1.0,76.1,,,,,,
Adam Stairs,0.0,79.7,77.3,0.0,79.0,0.0,0.0,79.2
Adela Lilollari Adela Lilollari,0.0,78.1,,,,,,
Adenike McDonald,0.0,71.4,,,,,,
Adil Abdulla,0.0,75.9,,,,,,
Aditya Vaibhav Gupta,1.0,74.8,,,,,,
Agnes Putri,1.0,74.8,,,,,1.0,73.4
Ahmed Naufal,1.0,78.3,,,,,,
Aidan Patrick,0.0,78.7,78.1,0.0,79.0,0.0,,
Aigerim Shadeyeva,1.0,74.0,,,,,,
Aiken Nuraly,,,72.1,1.0,,,,
Aino Tuohimaa,1.0,72.1,,,,,,
Aion Feehan,0.0,74.4,73.8,0.0,73.0,0.0,,
Aishling Kinsella,,,,,76.6,0.0,,
Aislin Flynn,0.0,82.6,,,81.2,0.0,0.0,80.2
Aisling Tully,0.0,76.7,79.6,0.0,,,0.0,77.4
Ajinkya Deshpande,0.0,78.7,,,,,,
Akeela Marin,0.0,72.9,,,,,,
Alaaeldin Elsayed,0.0,70.8,,,,,,
Alan Chan,0.0,77.8,,,,,,
Alan Hickey,,,76.8,0.0,,,,
Alasdair Donovan,0.0,79.2,,,80.6,0.0,,
Alberto Polimeni,,,,,78.4,0.0,0.0,77.2
Aldila Irsyad,1.0,75.8,,,,,,
Alek Ebbeling,0.0,75.7,,,,,,
Aleksandr Zhuravlev,1.0,75.2,,,,,,
Aleksandra Mihajlovic,1.0,73.2,74.3,1.0,,,,
Aleksandrs Rorbahs,,,,,,,1.0,63.8
Alessandra Chinsen,0.0,79.8,,,,,,
Alex Chakrin,,,,,77.0,0.0,,
Alex Deam,0.0,74.4,,,,,,
Alex Goldstein,,,71.9,1.0,,,1.0,71.6
Alex Markowitsch,1.0,72.3,,,,,,
Alex Moise,,,79.8,1.0,,,,
Alex Taylor,,,,,75.4,0.0,,
Alex Wu,0.0,82.3,,,80.4,0.0,0.0,80.8
Alexander Ansuh-Amponsah,,,74.6,0.0,,,,
Alexander Beaumont,0.0,78.7,,,,,,
Alexander Garrido,,,75.8,0.0,,,,
Alexander Leshev,,,69.4,1.0,,,,
Alexander Newell,,,,,74.4,0.0,,
Alexander Osterkorn,1.0,73.6,,,,,,
Alexander Stachurski,,,74.7,1.0,,,,
Alexandra Downie,0.0,80.4,,,80.6,0.0,,
Alexandra Johnson,0.0,80.0,,,,,,
Alexandra Sundarsingh,0.0,82.4,,,80.6,0.0,0.0,81.4
Alexey Shvyrkov,,,72.2,1.0,,,,
Alf Parvi,,,76.0,0.0,,,,
Ali Ryan,0.0,76.7,,,,,,
Alice Sowry,0.0,78.9,,,,,,
Alice Yue,0.0,75.3,,,,,,
Alicia Maddio,,,,,70.8,1.0,,
Alif Azadi Taufik,1.0,80.1,,,,,,
Aline Fleetwood,0.0,75.9,78.1,0.0,,,,
Aljosa Slamersak,1.0,73.9,,,,,,
Allen Gu,0.0,78.4,,,78.2,0.0,,
Allison Braithwaite,0.0,76.4,,,,,,
Allyson Stevens,,,,,,,0.0,70.6
Alon van Dam,1.0,78.2,,,,,,
Alwin Bakker,1.0,74.8,,,,,,
Amanda Chen,0.0,79.6,,,77.8,0.0,,
Amanda Ngo,0.0,74.4,,,,,,
Ameera Natasha Moore,1.0,81.4,,,81.4,1.0,1.0,82.6
Amelia Kearney,0.0,78.9,,,,,,
Amichay Even chen,,,74.6,1.0,,,,
Amina Kunnummal,0.0,74.3,,,,,,
Amrit Agastia,1.0,77.6,,,,,,
Amro Fadl,,,,,,,1.0,69.2
Amy Gilbertson,0.0,78.4,,,,,,
Amy O'Sullivan,,,76.2,0.0,,,,
Ana Jankovic,,,73.9,1.0,,,,
Anastasiia Polievyk,,,72.4,1.0,,,,
Anda Prunea,1.0,75.9,75.1,1.0,,,1.0,76.2
Andrea Whelton,,,,,72.8,0.0,,
Andreas Kenny Oktavius,1.0,73.8,,,,,,
Andreas Villarreal,,,,,77.8,1.0,,
Andrei Kristian Buendia,0.0,80.1,,,,,,
Andrew Bempah,0.0,77.1,,,,,,
Andrew Bowles,0.0,79.6,,,,,,
Andrew Elder,0.0,81.1,,,,,,
Andrew Manton-Hall,0.0,78.2,,,,,,
Andrew Olivares,0.0,75.2,,,,,,
Andrew Sy,0.0,76.1,,,,,,
Andrija Đonović,,,79.0,1.0,,,,
Andrijana Kulezic,1.0,74.4,,,,,,
Aneeq Sarwar,0.0,72.0,,,,,,
Angela Portocarrero de las Heras,,,,,73.8,1.0,1.0,73.2
Angeliki Filippatou,,,74.9,1.0,,,,
Aniroodh Ravikumar,,,,,,,0.0,74.4
Anita Chandran,,,79.0,0.0,,,,
Ankur Biswas,0.0,79.9,,,,,0.0,78.0
Anna Akimova,,,74.0,1.0,73.8,1.0,1.0,77.0
Anna Dotsenko,1.0,75.6,76.1,1.0,,,,
Anna Gildenberg,,,74.4,1.0,,,,
Anna Hoffmann,,,,,74.0,0.0,,
Anna Proios,,,,,,,0.0,71.6
Anna Rachwal,1.0,74.3,,,,,,
Anna Shreder,,,74.3,1.0,,,,
Anna Vasylyeva,1.0,76.3,,,,,,
Anne Gasper,,,73.7,1.0,,,,
Anneliese Cooper,0.0,74.4,,,,,,
Annie Bradley,,,,,72.8,0.0,,
Annie Williamson,,,83.1,0.0,,,,
Annika Dukek,,,76.6,1.0,,,,
Antonia Bellas,0.0,80.3,,,,,,
Antonio Fabregat,1.0,76.1,,,,,,
Anusha Dinakara Babu,,,,,75.8,1.0,,
Aodhan Peelo,0.0,81.1,,,80.6,0.0,0.0,81.6
Archie Hall,0.0,82.4,,,81.4,0.0,0.0,80.8
Areeb Sherwani,0.0,73.8,,,76.2,0.0,0.0,76.0
Arianna Israel,0.0,75.4,,,,,,
Arie Mora,,,73.0,1.0,,,,
Ariel De la Garza,,,,,75.4,0.0,,
Arina Biriukova,,,71.0,1.0,,,,
Arlo Alexander Meylan,0.0,78.8,,,,,,
Arnas Aidukas,,,,,73.4,1.0,,
Arnold Myers,,,72.8,1.0,,,,
Aron Cohen,,,80.7,1.0,,,,
Artem Korchemsky,1.0,74.4,73.4,1.0,,,,
Artyom Semianchuk,,,,,,,0.0,66.6
Aryanda Putra Tony,1.0,76.2,,,,,,
Arzy Khayredinova,,,71.6,1.0,,,,
Asif Hossain,1.0,74.6,,,,,,
Asif Mehedi,1.0,75.3,,,,,,
Aspen Wang,0.0,77.8,,,76.2,0.0,,
Athinangamso Nkopo,0.0,77.4,,,,,,
Audrey Cooper,0.0,74.4,,,77.4,0.0,,
Aurelia Abena Attipoe,0.0,75.3,,,,,,
Austin Lee,,,,,75.2,0.0,,
Avihay Ben Shitrit,,,75.1,1.0,,,,
Axel Hirschel,,,73.2,1.0,,,,
Ayaka Watanabe,1.0,74.8,,,,,,
Ayal Hayut man,1.0,79.3,83.1,1.0,,,1.0,82.2
Ayinde Sadiq,1.0,76.4,,,,,,
Ayşe Tuğba Öztürk,,,72.3,1.0,,,,
Azat Gabdolla,1.0,74.4,,,,,,
