is_esl,ENL,ESL,Novice,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5
1,1,1,,Mubarrat Wassey,IIUM A,11,418,83.6,87,82,86,81,82
1,1,1,,Dan Lahav,Tel Aviv AD,13,418,83.6,83,83,83,85,84
0,3,,,Teck Wei Tan,Oxford C,12,417,83.4,83,84,84,83,83
0,3,,,Evan Lynyak,Yale A,10,417,83.4,84,82,83,83,85
0,5,,,Toby Tricks,Oxford B,13,416,83.2,83,83,84,83,83
0,6,,,Tommy Peto,Oxford B,13,415,83,82,83,84,82,84
0,7,,,Mifzal Mohammed,UT MARA A,11,413,82.6,82,82,79,84,86
1,7,3,,Ameera Natasha Moore,IIUM A,11,413,82.6,85,83,84,81,80
1,9,4,,Ayal Hayut man,Tel Aviv AD,13,411,82.2,81,81,81,83,85
0,9,,,Bethany Garry,GUU A,12,411,82.2,84,78,80,85,84
0,9,,,Marina Tan,Yale TT,10,411,82.2,81,83,83,85,79
0,12,,,Camara Hudson,Vermont A,14,410,82,81,82,83,84,80
0,12,,,Darion Hotan,KCL A,12,410,82,80,83,83,84,80
0,12,,,Owen Mooney,GUU A,12,410,82,84,78,79,84,85
0,15,,,Debi Ogunrinde,Oxford C,12,409,81.8,83,82,82,82,80
0,15,,,Ryan Tarte,Vermont A,14,409,81.8,80,81,84,82,82
0,15,,,Joe Roussos,LSE D,11,409,81.8,79,82,82,83,83
0,18,,,David __Slater,Stanford B,9,408,81.6,80,82,82,84,80
1,18,5,,Gigi Gil,Leiden A,10,408,81.6,83,83,80,81,81
0,18,,,Aodhan Peelo,UCD Law A,9,408,81.6,83,84,82,82,77
1,18,5,,Floris Holstege,Leiden C,10,408,81.6,81,85,80,81,81
0,18,,,Elana Leone,Stanford B,9,408,81.6,81,83,81,83,80
0,23,,,Bailey Reid,KCL A,12,407,81.4,80,83,81,83,80
0,23,,,Nishith Hegde,Edinburgh HD,10,407,81.4,79,84,82,83,79
0,23,,,Alexandra Sundarsingh,Hart House A,11,407,81.4,79,84,81,82,81
0,23,,,Jasmine Abdullah,UT MARA A,11,407,81.4,80,82,79,82,84
