is_esl,is_efl,is_esl_or_efl,ENL,ESL,EFL,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
0,0,0,1,,,Raffy Marshall,Oxford A,21,753,83.7,81,84,83,81,85,83,85,86,85
0,0,0,2,,,Tommy Peto,Oxford B,22,750,83.3,83,82,82,83,79,84,86,83,88
0,0,0,3,,,Teck Wei Tan,Oxford C,21,749,83.2,81,78,83,88,87,81,82,84,85
0,0,0,4,,,Evie Woodforde,USU B,20,748,83.1,84,88,80,80,83,82,86,83,82
0,0,0,4,,,Mifzal Mohammed,UT MARA A,22,748,83.1,85,81,83,85,84,84,81,79,86
0,0,0,6,,,Evan Lynyak,Yale A,20,746,82.9,83,85,83,84,81,84,79,82,85
0,0,0,7,,,Rory Flynn,Durham A,20,745,82.8,86,82,82,82,82,85,80,82,84
0,0,0,7,,,Dhruva Bhat,Harvard A,21,745,82.8,83,81,82,85,84,84,87,78,81
0,0,0,9,,,Jasmine Abdullah,UT MARA A,22,744,82.7,83,80,81,85,85,83,81,81,85
0,0,0,9,,,John Papantoniou,Cambridge A,21,744,82.7,81,83,84,84,84,82,83,80,83
0,0,0,11,,,Debi Ogunrinde,Oxford C,21,743,82.6,83,78,81,84,87,81,82,83,84
0,0,0,11,,,James Leeder,USU A,19,743,82.6,80,82,84,83,83,82,80,86,83
0,0,0,11,,,Toby Tricks,Oxford B,22,743,82.6,83,83,81,83,78,83,83,84,85
0,0,0,11,,,Aislin Flynn,Hart House A,20,743,82.6,86,82,79,85,84,79,83,82,83
0,0,0,11,,,Sophie Large,Oxford A,21,743,82.6,82,82,83,80,84,80,83,85,84
0,0,0,16,,,Archie Hall,Harvard C,19,742,82.4,81,81,81,83,87,82,82,83,82
0,0,0,16,,,Danny DeBois,Harvard A,21,742,82.4,82,80,81,83,84,84,86,79,83
0,0,0,16,,,Alexandra Sundarsingh,Hart House A,20,742,82.4,85,83,80,85,83,79,82,83,82
0,0,0,19,,,Alex Wu,Harvard C,19,741,82.3,82,82,81,83,86,81,82,82,82
0,0,0,20,,,James Rankin,AKL A,22,740,82.2,80,82,82,83,81,83,77,85,87
0,0,0,20,,,James Penn,AKL A,22,740,82.2,81,81,82,82,83,83,77,84,87
