Cambridge A
Hart House A
Harvard A
BPP A
Cambridge B
Sydney D
Melbourne A
Oxford B
Durham A
IIUM A
LSE A
Vic Wellington A
ANU A
Auckland A
Sydney A
Sydney B
Hart House B
Canterbury A
Brown A
Columbia A
Air Force A
NUS C
Glasgow A
APU A
Oxford A
Sydney C
Monash A
Auckland B
TCD-Phil A
Oxford C
Bates A
Melbourne C
McGill A
Queens A
Harvard C
Otago A
Bates B
New South Wales B
UBC A
Hart House C
Cape Town A
IBADU A
TCD-His B
Stanford A
Queensland A
Belgrade A
New South Wales A
Princeton B
Pennsylvania A
